name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,2017-01-01,49.5,41.2,46.8,48.1,36.9,43.9,45.3,94.7,0.66,100,79.17,rain,0,0,17.2,8.3,83.1,1019.4,96,3.3,43.6,3.8,2,,2017-01-01T07:42:33,2017-01-01T17:40:13,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-02,56.3,49.7,53,56.3,47.6,52.8,51.8,95.9,1.75,100,70.83,rain,0,0,,7.9,79.2,1019.7,88.3,2.9,52.5,4.4,4,,2017-01-02T07:42:44,2017-01-02T17:40:59,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-03,64,55.5,58.9,64,55.5,58.9,55,87.3,0.13,100,4.17,rain,0,0,25.4,10.4,219.6,1010.7,69.2,8.8,68.3,5.9,3,,2017-01-03T07:42:52,2017-01-03T17:41:46,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-04,54.4,39.1,48.7,54.4,34.1,45.6,38.5,69.3,0,0,0,,0,0,26.6,18.4,305.9,1012.7,41,9.9,113,9.7,5,,2017-01-04T07:42:59,2017-01-04T17:42:34,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-05,54.4,30.7,42.9,54.4,28.8,41.5,28.3,57.9,0,0,0,,0,0,,10.8,190.8,1013.7,54.1,9.9,113.8,9.8,5,,2017-01-05T07:43:04,2017-01-05T17:43:23,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-06,45.2,31.3,35.6,40.2,22.6,28.6,27.4,73,0.41,100,33.33,"rain,snow",0,0,,11.9,323.8,1016.5,86.8,8.7,45.6,3.8,2,,2017-01-06T07:43:07,2017-01-06T17:44:13,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-07,30.5,21.3,25.6,21.2,7,13.8,17.4,72,0.07,100,8.33,"rain,snow",0,0,30.8,20.5,323,1026.5,39.8,8.7,160.9,13.9,6,,2017-01-07T07:43:09,2017-01-07T17:45:04,0.35,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-08,33.9,15.2,24.2,26.9,3.9,15.5,8.4,52.4,0,0,0,,0,0,16.1,11.2,327.9,1038.6,14.6,9.9,138.9,12.1,6,,2017-01-08T07:43:08,2017-01-08T17:45:56,0.4,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-09,44.6,25.8,33.7,40,22.2,30.4,10.9,41.1,0,0,0,,0,0,17.2,10.1,123.4,1037.7,28.9,9.9,160.8,14,6,,2017-01-09T07:43:06,2017-01-09T17:46:48,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-10,56.9,31.3,44.2,56.9,26.9,42.3,27.6,52,0,0,0,,0,0,27.7,14.4,132.1,1030.1,59,9.9,143.8,12.4,6,,2017-01-10T07:43:01,2017-01-10T17:47:41,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-11,67.3,53.6,59.1,67.3,53.6,59.1,46.2,62.6,0,0,0,,0,0,21.5,11.9,163.5,1025.1,72.7,9.9,108.6,9.5,5,,2017-01-11T07:42:55,2017-01-11T17:48:35,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-12,72.4,47.8,59.9,72.4,47.8,59.9,49.7,70.5,0,0,0,,0,0,17.2,12.1,179.6,1026.8,40.2,9.8,147.8,12.7,6,,2017-01-12T07:42:47,2017-01-12T17:49:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-13,73,50.4,60.8,73,50.4,60.8,53.7,79.1,0,0,0,,0,0,,6.5,240.1,1030.9,48.7,9.6,143.5,12.5,6,,2017-01-13T07:42:38,2017-01-13T17:50:25,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,72219503888,72219653863,KATL,KPDK"
atlanta,2017-01-14,73.8,49.9,60.6,73.8,49.9,60.6,52.3,76.9,0,0,0,,0,0,,4.9,106.5,1030,38.1,8.3,133.3,11.5,6,,2017-01-14T07:42:26,2017-01-14T17:51:21,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-15,72.7,47.7,59.2,72.7,47.7,59.2,48.4,70.8,0,0,0,,0,0,,6.8,183.1,1025.6,30.1,8.8,110.7,9.5,5,,2017-01-15T07:42:13,2017-01-15T17:52:17,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-16,70,48.7,58.3,70,48.7,58.3,50.6,76.5,0,0,0,,0,0,,7.3,71.2,1024.4,55.2,9.3,138.4,11.9,6,,2017-01-16T07:41:57,2017-01-16T17:53:13,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-17,74.2,53.1,63,74.2,53.1,63,54.3,75.4,0,0,0,,0,0,23,14.4,167,1021.8,56.8,8.5,102.4,8.8,4,,2017-01-17T07:41:40,2017-01-17T17:54:10,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-18,70.3,58.5,63.9,70.3,58.5,63.9,54,71.2,0,0,0,,0,0,23,12.3,266.3,1019.1,50.7,9.8,122.3,10.6,5,,2017-01-18T07:41:21,2017-01-18T17:55:08,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-19,73.1,52.3,61.9,73.1,52.3,61.9,51,69.3,0.16,100,4.17,rain,0,0,18.3,9.9,124.3,1014.9,54.9,9.8,111.3,9.5,4,,2017-01-19T07:41:01,2017-01-19T17:56:06,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2017-01-20,73.5,58.4,65.3,73.5,58.4,65.3,57,76.5,0.26,100,8.33,rain,0,0,25.8,13.9,223.2,1009.9,58.3,9.4,133,11.4,6,,2017-01-20T07:40:38,2017-01-20T17:57:04,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
